Model-Name,Price
"2019 Newest Premium Dell Inspiron 15.6"" FHD 1080p Touchscreen Backlit Keyboard Laptop,Intel Quad Core i5-8250(beat i7-7500)Win 10 Option:8G/12G/16GB RAM,1T/2T HDD 256G/512G SSD,DVDRW,Silver/Black/Blue",509
"2019 Dell Inspiron 5000 Premium 13.3"" 2-in-1 Touchscreen Laptop, Intel Core i7-8550U up to 4.0GHz, 8GB|12GB|16GB|32GB RAM, 256 GB|512GB|1TB SSD, Backlit Keyboard, Wireless-AC, Bluetooth, Win10, Gray",799
"2018 Newest Premium Dell Inspiron 15.6-inch HD Display Laptop PC, 7th Gen AMD A6-9220 2.5GHz Processor, 4GB DDR4, 500GB HDD, WiFi, HDMI, Webcam, MaxxAudio, Bluetooth, DVD-RW, Windows 10-Black",679
"Dell Inspiron 13 7000 2-in-1 2019 Flagship Premium 13.3"" FHD IPS Touchscreen Laptop Quad-Core AMD Ryzen 5 2500U >i7-7500U/ Ryzen 7 2700U Backlit KB USB-C Win 10- 8GB/16GB/32GB RAM 128GB to 1TB SSD",899
"DELL Latitude E5450 14in Laptop, Core i5-5300U 2.3GHz, 8GB Ram, 128GB SSD, Windows 10 Pro 64bit (Renewed)",277
"Dell G3 Gaming Laptop - 15.6"" FHD, 8th Gen Intel i5-8300H CPU, 8GB RAM, 256GB SSD, NVIDIA GTX 1050 4GB VRAM, Black - G3579-5965BLK-PUS",579
"2019 Dell Inspiron 5000 Premium 15.6"" Full HD Laptop, AMD Ryzen 5-2500U(Beat i7-7500U), 8GB|12GB|16GB RAM, 256 GB|512GB|1TB SSD, WiFi, Bluetooth, Webcam, HDMI, Windows 10, Silver|Black|White|Blue",999
Dell Inspiron 15.6 inch HD Touchscreen Flagship High Performance Laptop PC | Intel Core i5-7200U | 8GB RAM | 256GB SSD | Bluetooth | WIFI | Windows 10 (Black),278
"Dell Inspiron 17"" Laptop | 8th Gen Intel Core i7-8565U Proc (8MB Cache, up to 4.6 GHz) | 8GB | 2Tbhd",689
"Dell Inspiron 15 5000 Series 15.6"" HD Laptop, Intel Core i7-7500U, 20GB Memory (4GB DRAM + 16GB Intel Optane Memory), 1TB HDD, Windows 10 - Silver - i5570-7987SLV",439
"Dell Inspiron 15 5000 Laptop Computer: Core i7-8550U, 128GB SSD + 1TB HDD, 8GB RAM, 15.6-inch Full HD Display, Backlit Keyboard, Windows 10",629
"2019 Dell Inspiron 5000 5570 FHD 15.6"" Touchscreen Laptop, Intel Core i5 or i7 Quad Core, Ram & HD Size Upto (32GB DDR4 Ram, 1TB SSD Boot + 2TB HDD), Backlit Keyboard, HDMI, DVD-RW, Windows 10",463
"Dell Inspiron 17 5000 Series 5770 17.3"" Full HD Laptop - 8th Gen Intel Core i7-8550U Processor up to 4.0 GHz, 16GB Memory, 256GB SSD + 2TB HDD, 4GB AMD Radeon 530 Graphics (Windows 10 Home)",769
"Dell G5587-7866BLK-PUS G5 15 5587 Gaming Laptop 15.6"" LED Display, 8th Gen Intel i7 Processor, 16GB Memory, 128GB SSD+1TB HDD, NVIDIA GeForce GTX 1050Ti, Licorice Black",540
"Premium 2019 Dell Inspiron 15 5000 15.6"" FHD Touchscreen Business Laptop Intel Quad-Core i7-8550U 8GB/12GB/16GB/32GB RAM 256GB/512GB/1TB SSD 2TB HDD DVDRW Backlit Keyboard MaxxAudio HDMI Webcam Win 10",683
"Dell Inspiron 15 3000/5000 Series 2019 Laptop Computer, 15.6 HD/FHD Touchscreen, Intel Core i3-7130U/i3-8130U/i5-7200U/i5-8250U, Wi-Fi, Webcam, Windows 10, 8GB/16GB/32GB DDR4, Up to 2TB HDD/1TB SSD","1,300"
