Model Name,Price
"iVooMi Me1 (Black, 8 GB)","₹3,599"
"iVooMi Me 2 (Champaign Gold/Gold, 16 GB)","₹3,785"
"Mi 4i (White, 16 GB)","₹7,990"
"Mi 4i (Grey, 16 GB)","₹9,999"
"Whitecherry MI3G (Gold, 4 GB)","₹4,000"
"Spice Fire One Mi-FX1 (Orange, 256 MB)","₹1,490"
"Spice Dream Uno Mi-498 (Black, 4 GB)","₹4,500"
"Redmi Note 7 Pro (Neptune Blue, 64 GB)","₹13,999"
"iVooMi i2 Lite (Neptune Blue, 16 GB)","₹4,499"
"Redmi Note 7 Pro (Space Black, 64 GB)","₹13,999"
"Redmi Note 7 Pro (Nebula Red, 64 GB)","₹13,999"
"Redmi Note 7 Pro (Neptune Blue, 128 GB)","₹16,999"
"Redmi Note 7 (Onyx Black, 64 GB)","₹11,999"
"Redmi Y2 (Black, 32 GB)","₹8,999"
"Redmi Note 6 Pro (Red, 64 GB)","₹11,999"
"Redmi 6 (Black, 32 GB)","₹7,999"
"Redmi Go (Blue, 8 GB)","₹4,499"
"Redmi 6 (Gold, 64 GB)","₹8,499"
"Redmi Note 6 Pro (Black, 64 GB)","₹11,999"
"Redmi 6 (Blue, 64 GB)","₹8,499"
"POCO F1 by Xiaomi (Steel Blue, 128 GB)","₹20,999"
"Redmi Y2 (Rose Gold, 32 GB)","₹9,439"
"Redmi Note 5 Pro (Gold, 64 GB)","₹13,999"
"Redmi Go (Black, 8 GB)","₹4,499"
"Redmi Note 6 Pro (Black, 64 GB)","₹15,999"
"Redmi Note 7 (Ruby Red, 32 GB)","₹9,999"
"Redmi 6 (Black, 64 GB)","₹8,499"
"Redmi Y2 (Gold, 64 GB)","₹10,999"
"Redmi Note 6 Pro (Blue, 64 GB)","₹15,999"
"Redmi 6 (Blue, 32 GB)","₹7,999"
"Redmi 6 (Rose Gold, 64 GB)","₹8,499"
"Redmi 6A (Gold, 32 GB)","₹6,681"
"POCO F1 by Xiaomi (Graphite Black, 128 GB)","₹20,999"
"iVooMi i2 (Indigo Blue, 32 GB)","₹7,499"
"iVooMi Me1 (Carbon Black, 8 GB)","₹4,999"
"iVooMi i1 (Matte Red, 16 GB)","₹7,499"
"iVooMi Me1 (Sunshine Gold, 8 GB)","₹4,999"
"Mi 4i (Grey, 32 GB)","₹14,999"
"Spice Dream Uno Mi-498 (White, 4 GB)","₹6,999"
"Mi 5 (White, 32 GB)","₹24,999"
"iVooMi i1s (Platinum Gold, 32 GB)","₹7,499"
"Spice Dream Uno Mi-498H (Black, 4 GB)","₹6,999"
"MI4 (White, 16 GB)","₹14,999"
"iVooMi Me5 - 4G VoLTE (Black, 16 GB)","₹4,499"
"Mi Max (Dark Grey, 32 GB)","₹14,999"
"iVooMi Innelo 1 (Black, 16 GB)","₹4,999"
"POCO F1 by Xiaomi (Armoured Edition, 128 GB)","₹21,999"
"iVooMi Me3 (Teal Blue, 16 GB)","₹6,800"
"iVooMi i1s (Jade Black, 32 GB)","₹7,499"
"iVooMi i1s (Matte Red, 32 GB)","₹7,499"
"iVooMi Me4 (Dark Gray, 8 GB)","₹2,999"
"iVooMi Me4 (Black, 8 GB)","₹2,999"
"iVooMi Me4 (Champagne Gold / Gold, 8 GB)","₹2,999"
"iVooMi Me 2 (Black, 16 GB)","₹3,599"
"POCO F1 by Xiaomi (Graphite Black, 64 GB)","₹19,999"
"iVooMi iPro (Matte Red, 8 GB)","₹2,999"
"iVooMi iPro (Platinum Gold, 8 GB)","₹2,999"
"iVooMi i2 Lite (Saturn Gold, 16 GB)","₹4,499"
"iVooMi i2 Lite (Mars Red, 16 GB)","₹4,499"
"iVooMi i2 Lite (Mercury Black, 16 GB)","₹4,499"
"POCO F1 by Xiaomi (Rosso Red, 256 GB)","₹27,999"
"POCO F1 by Xiaomi (Graphite Black, 256 GB)","₹27,999"
"Mi A2 (Black, 128 GB)","₹15,490"
"iVooMi i2 (Olive Black, 32 GB)","₹7,499"
"iVooMi I2 (Bronze Gold, 32 GB)","₹7,499"
"iVooMi Z1 (Classic Black, 16 GB)","₹4,999"
"iVooMi Z1 (Ocean Blue, 16 GB)","₹4,999"
"iVooMi Z1 (Platinum Gold, 16 GB)","₹4,999"
"Mi Mix 2 (Black, 128 GB)","₹29,999"
"iVooMi i1 (New Edition) (Classic Black, 16 GB)","₹6,499"
"iVooMi i1 (New Edition) (Persian Red, 16 GB)","₹6,499"
"iVooMi iv 505(Me5) (Champagne/ Champagne Gold, 16 GB)","₹5,200"
"Mi Max 2 (Black, 64 GB)","₹14,999"
"Mi A1 (Black, 64 GB)","₹10,999"
"iVooMi Me3 (Midnight Black, 16 GB)","₹6,800"
"iVooMi i1 (New Edition) (Autumn Gold, 16 GB)","₹6,499"
"iVooMi i1s (New Edition) (Autumn Gold, 32 GB)","₹8,999"
"MI3 (Metallic Grey, 16 GB)","₹13,999"
"Mi A2 (Lake Blue, 128 GB)","₹15,999"
"Redmi 4 (Black, 64 GB)","₹11,999"
"Redmi 4 (Gold, 16 GB)","₹7,499"
"Redmi 6 Pro (Lake Blue, 32 GB)","₹8,639"
"Redmi 5 (Gold, 16 GB)","₹6,999"
"Redmi 5A (Grey, 32 GB)","₹6,999"
"Redmi 5A (Blue, 16 GB)","₹5,999"
"Redmi 5A (Grey, 16 GB)","₹5,999"
"Redmi 5A (Blue, 32 GB)","₹6,999"
"Redmi 5A (Gold, 32 GB)","₹6,999"
"Mi A2 (Gold, 128 GB)","₹15,999"
"Redmi 5A (Rose Gold, 32 GB)","₹6,999"
"Redmi 5A (Rose Gold, 16 GB)","₹5,999"
"Redmi 5A (Gold, 16 GB)","₹5,999"
"Redmi Y2 (Blue, 64 GB)","₹10,999"
"Redmi Y1 lite (Rose Gold, 16 GB)","₹7,810"
